nk	sk
나는 이 극단적인 수법으로 우리의 작은 회중을 깜짝 놀라게 할수는 없겠지만 오늘이 크리스마스날이거나 일요일이 아니라는것만은 확신할수 있어.	나는 이 극단적인 조치를 취함으로써 우리의 작은 회중을 놀라게 했을지도 모른다는 확신이 전혀 없지만, 오늘이 크리스마스 날이고 일요일이 아니라는 점만은 확실하다.
아니예요, 선생님, 둘다 아니예요. 이 이야기와 관련된것이 아니예요.	아니요, 선생님, 그 둘 다 아니고, 이 이야기와 관련된 무언가입니다.
그후 샤토 디프에 갇혀있다는것을 알게 되자 나는 그의 죽음에 대하여 좀더 상세히 알려고 마음먹었다.	그 이후로 나는 그가 샤토 디프에 갇혀 있었다는 것을 알게 되었고, 그의 죽음에 대한 몇 가지 세부사항을 알고 싶다.
그리고나서 그 녀자는 벽에 있는 두개의 문손잡이를 페린에게 보여주었다.	그 일이 끝나자 그녀는 벽에 있는 두 개의 손잡이를 페린에게 보여주었다.
이 마지막순간이 얼마나 귀중한것인가!	그 마지막 순간들이 얼마나 귀중한가!
여호와께서 계단을 한발자국 내디디신다면 그는 한손으로 천상의 계단을 뛰여올것이다.	여호와 자신이 계신다면, 그는 한 발로 천국의 계단을 뛰어오를 것이다.
그 수레가 쥴리앙을 배반한것이다. 그 수레는 쥴리앙을 보호해줄 의무가 있었다.	그것은 그를 배신한 수레였고, 그 수레는 그를 보호해야 할 자리였다.
시체의 일부가 자기들의 손에 떨어지리라는것을 잘 알고있었기때문에 그들은 사냥군들이 물러가기를 기다리고있었다.	그들은 적어도 시체의 일부가 자신들의 몫으로 떨어질 것이라는 것을 잘 알고 있었기 때문에, 사냥꾼들이 물러나기를 인내심을 가지고 기다리기 위해 사방에 다양한 거리로 앉았다.
언제나 끝맺어야 할 그림과 복사해야 할 음악과 해야 할 일이 있었기때문에 나는 그 녀자나 그의 누이들이 무슨 일에 몰두하는동안 정원안을 거닐거나 하는것외에는 아무것도 즐기지 못했다.	항상 끝내야 할 그림이 있었고, 복사해야 할 음악이 있었으며, 해야 할 일이 있어서 나는 그녀나 그녀의 자매가 어떤 일에 몰두하더라도 정원 주위를 짧게 산책하는 것 외에는 아무것도 즐길 수 없었다.
그는 탭룸에서 간결하면서도 침착한 목소리로 마지막명령을 내렸다. 푀유리는 모든 사람을 대표하여 대답하였다.	그는 탭룸에서 간결하지만 깊이 평온한 목소리로 마지막 명령을 내렸고, 푀유리는 모든 사람을 대표하여 듣고 대답했다.
나는 아이린이라고 공주가 대답하였다.	나는 아이린이야, 공주가 대답했다.
그러나 순간이 오면 레버가 그것을 잡아당겼고 그 충동에 따라 바퀴는 삐걱거리기 시작하여 목적과 결과가 서로 다르다는것을 깨닫게 되였다.	그러나 순간이 오면 레버가 그것을 잡아당기고, 그 충동에 따라 그 바퀴는 삐걱거리기 시작하며 그 결과와 목표가 자신의 이해를 넘어서는 공통의 움직임에 동참하게 된다.
우리는 나란히 모래사장을 걸으면서 속으로 흡족한 생각이 들었다.	우리는 나란히 모래사장을 걸으며 마음속으로 매우 기뻤다.
그래. 하고 백작은 말하였다.	그래, 너라고, 백작이 말했다.
당신은 내가 녀자라는것을 모르고있었지만 나는 누구에게도 속할수 있고 너에게도 속할수 있어.	"당신은 내가 여자라는 것을 눈치채지 못했나요?
그래, 나는 누구에게나 속할 수 있는 여자야, 너에게도 속할 수 있어, 그녀의 눈빛이 말했다."
그러는 사이에 나의 동료중 한사람이 검사보와 두 녀성인 죄수들사이에 끼여들어 무례한짓을 해서 나의 주의를 끌었던것이다.	그 사이에 내 동료 전문가 중 한 명이 검사와 두 명의 여성 지식인인 죄수들 사이에서의 무례한 행동에 내 주의를 끌었다.
나는 그가 직장으로 가는 길을 잘못 들었다는것을 알고 사과할 시간도 없이 손바닥의 움푹 패인곳에 놓인 단추를 그에게 보여주었다.	나는 직장에 가는 길을 잘못 들었음을 깨닫고, 사과할 시간도 낭비하지 않고 손바닥의 움푹 들어간 곳에 놓인 단추를 그에게 보여주었다.
내가 하나만 가지고있으면 너는 나에게 주지 않을거야.	내가 하나 가지고 있다면, 너에게 주지 않을 거야!
내가 왜 너에게 오라고 부탁했을가, 내가 왜 너에게 오라고 부탁했을가?	"내가 말할게; 아마도 그래서 내가 너에게 오라고 부탁했을 거야, 왜냐하면 지금은 내가 왜 너에게 오라고 부탁했는지 모르겠거든.
음, 이반 표도로비치가 모스크바에서 돌아온 이후로 나를 두 번 찾아왔다."
군중들은 환성을 올리며 찬미하였다.	이에 군중은 환호하며 찬성했다.
나같은 은퇴한 여배우에게 의무를 다해야 한단말인가.	나 같은 은퇴한 여배우에게 의무를 져야 하다니.
우리가 우리의 첫째가는 선을 잃는 한이 있더라도 다른 사람의 선은 남아있을것이다. 그것은 시도할만한 가치가 있는 일이다.	우리가 우리의 최고의 선을 잃었다면, 다른 사람들의 선은 남아 있을 것이고, 그것은 시도할 가치가 있다.
그들은 동족의 고통을 조금도 념려하지 않고 극복할수 있으며 또 그렇게 할수 있도록 허락해준 신에 대해서도 전혀 신경을 쓰지 않았다.	그들은 동료 인간의 고통을 걱정하지 않고도 극복할 수 있으며, 그런 일이 일어날 수 있도록 허락한 신에 대해서도 신경 쓰지 않는다.
나는 정말 어리석었구나!	나는 정말 바보구나!
이 편지는 카티야를 더욱 노엽게 하였다.	이 편지는 카티야를 더욱 짜증나게 했다.
그들의 무모한 정열은 그들을 더는 참을수 없을 정도로 멀리 끌어당겼고 적어도 일부는 더는 참을수 없을 정도로 멀리 끌어당겼기때문에 잔인한 흥분에 가득찬 야만적인 소녀들이 폭동의 선두에 서게 되였으며 그들이 유혈충격의 주범으로 된다는것은 무모한 선언이였다.	그들의 무모한 열정은 그들을 멈출 수 없을 정도로 멀리 데려갔고, 적어도 일부는 너무 멀리 갔기 때문에, 항상 잔인한 흥분을 사랑하는 야만적인 소년들이 폭동의 선두에 서게 되며, 그들이 어떤 유혈 사태로 이어질지에 대해 무모하다.
미티야가 기다리고있던 응접실은 음침하고 적막한 방이였다.	미티야가 그를 기다리고 있던 응접실은 광활하고 음침한 방으로, 마음에 우울한 무게를 얹고 있었다.
사실 나는 그렇게 생각하였다.	실제로 나는 그렇다.
나는 그가 그렇게 하지 않기를 간절히 바랐다. 그래서 그가 나를 그우에 올려세운 묘비를 꽉 그러안았다.	나는 그가 그렇게 하지 않기를 간절히 바랐고, 그가 나를 올려놓은 묘비를 더욱 꽉 붙잡았다.
첫 안해는 웃층에서 왔기때문에 신을 신을것이며 그 안해는 죽어서도 그 녀자가 말한것처럼 결코 열등하지 않을것이다.	첫 번째 여왕은, 알다시피, 즉 왕의 첫 번째 아내는 위층에서 왔기 때문에 당연히 신발을 신었고, 그래서 그녀가 죽었을 때 다음 여왕은 그녀가 말한 대로 결코 열등하지 않기 위해서 신발을 신을 것이다.
저녁 기도를 마치자 마담은 나를 다시 살펴보았다.	저녁 기도를 마친 후, 마담이 다시 나를 살펴보러 왔다.
그것은 안해로서의 신성한 의무를 저버리는것이며 유혹에 굴복하여 하느님의 뜻을 저버리는것이다.	그것은 아내로서의 신성한 의무를 위반한 것이며, 유혹에 노출됨으로써 신의 뜻을 시험하는 것이었다.
그는 이 영광을 떨칠수 있는 민족에게 특사를 보내주었던것이다.	그가 이 영예를 받을 만한 국가에 대한 서비스를 제공했는데.
우리는 이내 밖으로 나왔다. 쾌활하고 고요한 밤이 오히려 나의 마음을 달래는듯하였다.	순식간에 우리는 밖으로 나갔고, 시원하고 고요한 밤이 나를 다소 회복시켜 주었다.
그 녀자는 창문에 등을 기대고 개의 머리에 손을 얹었다.	그녀는 창틀에 등을 기대고 개의 머리에 손을 얹었다.
어머니, 사랑하는이, 용서해주세요!	엄마, 사랑하는 당신, 저를 용서해 주세요!
딕 바틀리는 기쁨에 겨워 미친듯이 날뛰였다.	딕 바틀리는 기쁨에 거의 미쳐 날뛰었다.
그 자그마한 사나이는 거기 없었다.	그 작은 남자는 거기 없었다.
나는 이 보물이 어디서 흘러나왔을가 하는것을 의심할수는 없었다.	이 보물이 흘러나온 출처를 의심할 수는 없었다.
이때 나는 환영받지 못한 힘을 얻어 나에 대한 그의 모든 오해를 깨닫게 되였다.	이제 환영받지 못한 힘으로, 나는 그의 나에 대한 전체적인 오해를 깨달았다.
그래서 내가 대답할수 있었다면 좋았을것이다. 그러나 아무도 나의 생각과 같은 사람은 아니였고 놀라거나 당황하거나 당황한 사람은 아니였다.	따라서 내가 대답할 수 있었다면 그렇게 했겠지만, 아무도 내 생각과 같지 않은 것 같았고, 아무도 놀라거나 경악하거나 당황한 것 같지 않았다.
너였니?	너였니?
그러나 영어의 약화는 오래가지 못하는것 같았다.	하지만 영어의 약화는 회복할 수 없는 것처럼 보였다.
그는 미소를 띄웠다. 그 늙은이는 나이 지긋하고 고집이 세서 미쳤을지도 모른다.	그렇다, 그는 계속해서 웃으며 말했다, 그 노인은 아흔이었고, 그의 고집스러운 생각에 미쳤을 가능성이 충분히 있었다.
이 질문이 무엇을 의미하는지 당신은 아시오?	여기서 질문이 무엇인지 아십니까?
그는 여기서 까브리올레를 타고 열한시반까지 나를 기다렸어야 할텐데 지금은 열두시밖에 되지 않았다.	그는 여기서 카브리올레를 타고 열한 시 반까지 나를 기다렸어야 했는데, 지금은 열두 시이고 기다리다 지쳐서 그는 떠났을 것이다.
우리는 구름속에 나타날 그 굉장한 흰 보좌를 기다리고있었다.	우리는 구름 속에 나타날 거대한 흰 보좌를 기다리고 있었다.
그러나 나는 그것이 옳은 일이라는것을 알고있다.	하지만 나는 그것이 말해야 할 올바른 일이었다는 것을 안다.
그러니까 결국 우리들사이에 치명적인 불화가 생기는거요.	그러니까, 보시다시피 우리 사이에는 치명적인 불화가 있다.
만일 이 모든것을 다 했다면 그 다음은 어떻게 될가?	그가 이 모든 것을 했다면, 그 다음은 어떻게 되는가?
부인은 부드럽게 말하였다.	그녀는 부드럽게 말했다.
니콜라스는 베주코프가 제의한대로 3만루블을 받았다. 이것은 그가 진정으로 가치있는 일에 대한 대가로 지불해야 할 빚으로 여기고있었던것이다.	니콜라스는 형수의 남편인 베주코프가 그에게 제안한 삼만 루블을 받아들였고, 이는 그가 진정으로 가치에 대한 대가로 갚아야 할 빚으로 여겼다.
리드게이트는 그 녀자에 대한 걱정을 깡그리 잊어버리고 자신만만하게 자신을 우울한 인간이라고 하면서 그 녀자자신의 사려깊은 사색과 깊은 사색에 잠겨있었던것이다. 그것은 마치도 불길한 예감이나 불길한 예감을 나타내는 일종의 징조처럼 생각되였다.	리드게이트는 그녀에 대한 걱정에서 벗어나 자신이 내면적으로 우울함이라고 부르는 상태로 되돌아갔고, 이는 그녀에게는 자신 이외의 다른 주제에 대한 사려 깊은 몰두와 함께 불안한 표정과 모든 평범한 것에 대한 혐오감을 나타내는 이름으로, 마치 그것들이 쓴맛 나는 약초와 섞인 것처럼 보였으며, 실제로는 그의 불만과 불길한 예감을 나타내는 일종의 기상계 역할을 했다.
그러나 그는 우리 둘에게 이 소녀에 대해서 한마디도 입밖에 내지 않았기때문에 나는 이 소녀가 롱담을 하고있거나 잘못 알고있다고 생각하게 되였다.	하지만 그는 우리 둘에게 이 소녀에 대해 결코 이야기하지 않았기 때문에, 나는 피터킨이 농담을 하거나 잘못 알고 있었던 것이라고 생각하게 된다.
포사이드부인은 이 모든 일에 조금도 신경을 쓰지 않았다.	포사이드 부인에게는 그 모든 일에 대해 전혀 신경 쓰지 않았다.
이윽고 페린의 차례가 되자 마틸드는 자그마한 꾸레미를 가슴에 꼭 그러안고 나섰다.	이제는 페린의 차례가 되어 그녀는 작은 신문 꾸러미를 가슴에 꼭 안고 가게를 나섰다.
그는 그것이 폭발할수 있다고 하면서 그자리에서 그를 때렸다.	그는 그것이 폭발할 수 있다고 말하며 그 자리에서 그를 때렸다.
모두들 그들이 나올 때까지 기다리고있었다.	모두 그들이 나올 때까지 기다리고 있었다.
라주미앙은 어떤 기분에서나 자신의 본색을 드러내는 성미여서 사람들은 그가 어떤 사람인가를 금방 알아차리게 되였다.	라주미힌은 어떤 기분이든지 간에 자신의 본성을 즉시 드러내는 것이 특징이어서, 사람들은 그와 어떤 유형의 사람인지 금방 알 수 있었다.
너의 이름이 뭐냐? 너와 같은 악당이냐?	너의 이름이 뭐냐, 너 같은 악당이?
무슨 뜻일가요?	무슨 뜻인가요?
프레드릭크, 마가렛이 말하였다.	오, 프레드릭, 마가렛이 말했다.
각 물고기는 통에 실려왔는데 하나는 강의 허브와 잡초가 자욱히 자라고있었고 다른 하나는 갈대와 호수가 자욱히 자라고있었다.	각 물고기는 통에 실려 왔는데, 하나는 강의 허브와 잡초로 가득 차 있었고, 다른 하나는 갈대와 호수 식물로 가득 차 있었다.
제가 아버님과 함께 계셔요?	제가 아빠와 함께 있나요?
도대체 이 말은 무엇을 의미하는것일가?	이게 무슨 의미일까?
늙은 간호부가 자기 말에 귀를 기울이는동안 로잘리는 옷장에서 리넨을 꺼냈다. 그 말을 듣고있던 페린은 그 녀자를 바라보면서 시트가 두툼한 노란색쪼각으로 변한것을 보았다.	늙은 간호사가 자신의 말이 존중받는 데 익숙한 여성의 중요성과 권위로 이 조언을 중얼거리는 동안, 로잘리는 옷장에 있는 리넨을 꺼내고 있었고, 듣고 있던 페린은 그녀를 바라보며 시트가 두꺼운 노란색 캔버스로 만들어졌다는 것을 보았다.
그들은 이 신사에게서 30야드 떨어진곳에 이르렀다.	그들은 곧 그 신사로부터 삼십 야드 이내에 도달했다.
너는 모두가 짐을 싸고있다는것을 보지 못했니?	그리고 너는 모두가 짐을 싸고 있다는 것을 보지 못했니?
량심이란 무엇이며 자유의식에 기초한 행동의 옳고 그름에 대한 나의 생각은 무엇인가?	양심이란 무엇이며, 자유의식에서 비롯되는 행동의 옳고 그름에 대한 인식은 무엇인가?
그는 주머니에서 돈을 꺼내여 조끼 주머니에 집어넣었다.	그는 돈을 가져가서 조끼 주머니에 슬쩍 넣었다.
우리는 무엇을 웨쳐야 할가?	우리는 무엇을 외쳐야 할까?
그뒤에 떠오르는 미인은 브랜든부인과 비교할수 없다는 리유로 그에게서 멸시를 받게 될것이다.	그리고 이후 많은 떠오르는 미인은 브랜든 부인과 비교할 수 없다는 이유로 그에게 무시당할 것이다.
그것은 엘프처럼 머리카락이 곱슬곱슬한 갈색눈의 소녀가 붉은 얼굴을 창문에 기대고있는것을 보자 처음 머리에 떠오른 생각뿐이였다.	그것은 엘프처럼 머리카락이 곱슬곱슬한 갈색 눈의 소년이 그의 붉은 얼굴을 철창에 대고 있는 모습을 관찰하면서 떠오른 첫 번째 생각이었다.
당신은 내가 샤토 디프에서 감금되여있다고 생각하시나요?	그렇다면 당신은 내가 샤토 디프에 가서 거기서 감금될 것이라고 생각하는군요?
엠브레는 사업을 잘 알고있으니까 괜찮을게다.	M. 몸블뢰는 사업적인 부분을 잘 알고 있으니 괜찮을 거야.
너는 내 집에 오게 될것이다. 나는 이 모든것을 보여줄것이다. 하고 그는 계속 말하였다.	너는 내 집에 오게 될 것이고, 나는 이렇게 내가 한 일을 보여줄 것이다, 그는 계속해서 말했다.
그는 마치 열이 있어 아들을 죽인 아버지의 피, 복수하고싶어하는 아버지의 피를 도적질이라는 비렬한 동기로 이야기했다.	그는 마치 열이 난 것처럼 보였고, 아들에 의해 살해당한 아버지의 피, 복수를 외치는 그 피를 도둑질이라는 비열한 동기로 이야기했다.
너는 그 녀자가 하는 말을 알아들을수 있을는지?	너는 그녀가 하는 말을 들을 수 있을 거야, 알지?
라플스가 죽은지 5일째 되는 날 밴브리지씨는 드라크레드저택의 큰 아치밑에서 조용히 서있었다.	라플스가 죽은 지 5일 후, 밴브리지 씨는 그린 드래곤의 마당으로 들어가는 큰 아치 아래에서 여유롭게 서 있었다.
그 녀자는 치명적인 목요일밤에 아웃우드역근처에서 그 녀자를 보았는데 그 녀자가 거기에 있지 않다는것을 부인하였다는것이였다.	손턴은 치명적인 목요일 밤에 아웃우드 역 근처에서 그녀를 보았고, 그녀가 그곳에 있었다는 것을 부인했다는 이야기를 들었다.
오블론스키는 그 임무를 수행하는데서 7천에서 1만의 년수입을 벌어들이고있었다. 오블론스키는 그 임무를 수행하는데 필요한 모든것을 버리지는 않았다.	그 임명은 연간 7천에서 1만의 수입을 가져다주었고, 오블론스키는 정부 직위를 포기하지 않고도 그 일을 맡을 수 있었다.
당신의 말에 의하면 당신은 재미있는 사람이지만 이제 곧 그 통에서 내려와서 투표할수 있게 되였다더군. 실버가 경멸스럽게 대답하였다.	"당신의 말에 따르면 당신은 재미있는 사람이지만, 이제 당신은 끝났고, 아마 그 통에서 내려와서 투표를 도와줄 것입니다.
너는 규칙을 안다고 말했잖아, 실버가 경멸스럽게 대답했다."
푸른빛옷을 떨쳐입은 나에게 나팔을 불어주오.	파란색 옷을 입은 작은 소년, 나에게 네 나팔을 불어줘.
나는 너의 추한 얼굴을 젤리처럼 두들겨패야 한다.	때리기는 금지되어 있지만, 나는 너의 추한 얼굴을 젤리처럼 두들겨 팼어야 했다.
과자점과 포민의 가게와 풀드의 가게에서 그는 자기가 기대하는것을 그들이 흡족하게 여기고있다는것을 알았다.	그리고 과자점과 포민의 가게, 그리고 풀드의 가게에서 그는 자신이 기대받고 있다는 것을 보았고, 그들이 그를 반가워하며 그의 행복을 자랑스럽게 여긴다는 것을 알았다.
이튿날아침 그는 약속을 지키라고 분부하는 편지를 보냈다.	다음 날 아침, 그는 약속을 지켜 요청한 처방전을 보냈다.
미쳤어.	미스터.
그래서 나는 조상들에게서 물려받은것과 힘든 노력으로 얻은것을 소중히 여겼다.	그래서 나는 조상들로부터 물려받은 것과 힘든 노력으로 얻은 것을 소중히 여긴다.
다시한번 보리 이삭이 남아있던곳에서 황혼속에 서있노라면 플로론 필드의 울음소리조차도 그의 곁을 떠나지 않을것이며 그로 하여 그는 개인적인 고통과 절망을 느끼게 될것이다.	그가 다시 한 번 그 보리 이삭이 남은 곳에서 황혼에 서 있었다면, 플로든 필드의 울음소리조차 그를 거기서 찾지 못했을 것이며, 오히려 개인적인 고통과 절망적인 추위를 강하게 느꼈을 것이다.
늙은 대장이 무척 기뻐했고 변호사들도 그랬다.	늙은 경찰 대장은 매우 기뻐 보였고, 변호사들도 마찬가지였다.
그리고 그 녀자는 앞으로 있을 사건을 예견하기 시작했다.	그리고 그녀는 일어날 일의 종류를 상상하기 시작했다.
그렇게 생각하니?	정말 그렇게 생각하니?
당신은 잘못 생각했어요, 엘리너. 그는 부드럽게 말하였다.	당신은 잘못 생각하고 있어요, 엘리너, 그녀가 따뜻하게 말했다.
그는 한때는 감금되여있었으나 얼마 안가서 새로운 정열과 함께 문법이나 운률의 규칙을 배웠으나 이 모든것은 한때의 훌륭한 평민들이 자기에게 가르쳐준것과는 전혀 어울리지 않는것이였다.	그는 팬디와 감금에도 불구하고 한때 만족을 느끼고, 새로운 열정과 함께 문법이나 운율의 규칙으로 돌아왔으며, 비록 후자가 그 당시 가르쳐진 방식으로는 거의 쓸모가 없었지만, 이는 근처의 훌륭한 평신도가 스스로에게 부과한 과제인 역대기 첫 번째 책의 처음 아홉 장을 배우는 것과 거의 같은 무의미한 일이었다.
너는 그 집에 들어갔니?	그리고 너는 그 집에 들어가니?
너의 바냐는 몇살인가?	너의 바냐는 몇 살인지 말해 줘?
부인은 언제나 모든 문을 열어두는 습관이 있었다.	부곤 부인은 모든 문을 열어두는 습관이 있었다.
알파치가 말하였다.	알파치가 말했다.
그는 왼손으로 은으로 만든 고뿌에 든 마라스키노를 먹고있었는데 눈은 반쯤 감겨져있었고 숟가락도 그 사이에 있었다.	그녀는 왼손으로 은금 도금된 컵에 담긴 마라스키노 아이스를 먹고 있었고, 눈은 반쯤 감겨 있었으며, 숟가락은 그녀의 이 사이에 끼어 있었다.
쥴리앙은 그 녀자의 어깨에서 다시한번 오달리스크목욕의 호박빛을 보았는데 그 녀자는 로마시대 성직자들의 부인처럼 긴 허리를 드러내보였다.	그는 그녀의 어깨에서 다시 한 번 오달리스크 목욕의 호박색을 발견했으며, 그녀는 봉건 시대의 성주 부인처럼 긴 허리를 가지고 있었고 바르셀로나의 창백한 여인과 닮아 있었다.
이젠 만족하니?	이제 만족하니?
검사는 어깨를 으쓱하고 말을 끊었다.	검사가 어깨를 으쓱하며 말을 끊었다.
